tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,name,retweet_count,text,tweet_created,user_timezone
5.70277E+17,negative,1,Bad Flight,1,heatherovieda,0,@TAA  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2/24/2015 9:39,Eastern Time (US & Canada)
5.70271E+17,positive,1,,,thebrandiray,0,I ❤️ flying @TAA. ☺️👍,2/24/2015 9:15,Atlantic Time (Canada)
5.70268E+17,positive,1,,,JNLpierce,0,@TAA you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2/24/2015 9:04,Quito
5.70266E+17,negative,0.6705,Can't Tell,0.3614,MISSGJ,0,@TAA why are your first fares in May over three times more than other carriers when all seats are available to select???,2/24/2015 8:55,
5.70264E+17,positive,1,,,DT_Les,0,@TAA I love this graphic. http://t.co/UT5GrRwAaA,2/24/2015 8:49,
5.70259E+17,positive,1,,,ElvinaBeck,0,@TAA I love the hipster innovation. You are a feel good brand.,2/24/2015 8:30,Pacific Time (US & Canada)
5.70259E+17,neutral,1,,,rjlynch21086,0,@TAA will you be making BOS&gt;LAS non stop permanently anytime soon?,2/24/2015 8:27,Eastern Time (US & Canada)
5.70257E+17,negative,1,Customer Service Issue,0.3557,ayeevickiee,0,@TAA you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,2/24/2015 8:18,Mountain Time (US & Canada)
5.70249E+17,negative,1,Customer Service Issue,1,Leora13,0,@TAA status match program.  I applied and it's been three weeks.  Called and emailed with no response.,2/24/2015 7:49,
5.7024E+17,negative,1,Can't Tell,0.6614,meredithjlynn,0,@TAA What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2/24/2015 7:11,
5.70218E+17,neutral,0.6854,,,AdamSinger,0,@TAA do you miss me? Don't worry we'll be together very soon.,2/24/2015 5:44,Central Time (US & Canada)
5.70208E+17,negative,1,Bad Flight,1,blackjackpro911,0,@TAA amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,2/24/2015 5:05,
5.70125E+17,neutral,0.615,,0,TenantsUpstairs,0,@TAA LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2/23/2015 23:34,Atlantic Time (Canada)
5.70114E+17,negative,1,Flight Booking Problems,1,jordanpichler,0,"@TAA hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",2/23/2015 22:52,Vienna
5.70095E+17,neutral,1,,,JCervantezzz,0,@TAA Are the hours of operation for the Club at SFO that are posted online current?,2/23/2015 21:35,Pacific Time (US & Canada)
5.70088E+17,negative,1,Customer Service Issue,1,Cuschoolie1,0,"@TAA help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2/23/2015 21:10,Quito
5.70085E+17,negative,1,Customer Service Issue,1,amanduhmccarty,0,"@TAA awaiting my return phone call, just would prefer to use your online self-service option :(",2/23/2015 20:55,Pacific Time (US & Canada)
5.70077E+17,positive,1,,,NorthTxHomeTeam,0,@TAA this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2/23/2015 20:24,Central Time (US & Canada)
5.70052E+17,neutral,0.6207,,,miaerolinea,0,Nice RT @TAA: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,2/23/2015 18:46,Caracas
5.70051E+17,positive,1,,,Nicsplace,0,@TAA Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,2/23/2015 18:43,
5.70045E+17,positive,1,,,Nicsplace,0,"@TAA @freddieawards Done and done! Best airline around, hands down!",2/23/2015 18:19,
5.70039E+17,neutral,0.6791,,0,elisha_malulani,0,@TAA when can I book my flight to Hawaii??,2/23/2015 17:54,Pacific Time (US & Canada)
5.70036E+17,negative,1,Customer Service Issue,1,DannyDouglass,0,@TAA Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2/23/2015 17:41,Pacific Time (US & Canada)
5.70034E+17,positive,0.6639,,,jamesferrandini,0,"@TAA View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2/23/2015 17:32,
5.70025E+17,negative,0.6688,Flight Booking Problems,0.6688,will_lenzenjr,0,"@TAA Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2/23/2015 17:00,Central Time (US & Canada)
5.70016E+17,neutral,1,,,GottAmanda,0,@TAA plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,2/23/2015 16:24,
5.70015E+17,neutral,0.6578,,0,KGervaise,0,@TAA I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,2/23/2015 16:20,Pacific Time (US & Canada)
5.70014E+17,neutral,1,,,papamurat,0,@TAA are flights leaving Dallas for Seattle on time Feb 24?,2/23/2015 16:13,
5.70012E+17,positive,1,,,arieldaie,0,@TAA I'm #elevategold for a good reason: you rock!!,2/23/2015 16:08,
5.70011E+17,neutral,0.6799,,,vacations7,0,@TAA  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,2/23/2015 16:04,
5.70011E+17,positive,1,,,ChelseaPoe666,0,@TAA wow this just blew my mind,2/23/2015 16:01,Atlantic Time (Canada)
5.70011E+17,neutral,1,,,BobGlavinVO,0,@TAA @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,2/23/2015 16:01,Eastern Time (US & Canada)
5.7001E+17,neutral,0.6436,,,lisaaiko,0,@TAA @ladygaga @carrieunderwood All were entertaining,2/23/2015 15:58,
5.70009E+17,neutral,0.6764,,0,grantbrowne,0,"@TAA Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2/23/2015 15:55,Central Time (US & Canada)
5.70007E+17,positive,0.657,,,joyabsalon,0,@TAA @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2/23/2015 15:46,Eastern Time (US & Canada)
5.70004E+17,neutral,1,,,2v,0,@TAA wish you flew out of Atlanta... Soon?,2/23/2015 15:36,Eastern Time (US & Canada)
5.70001E+17,neutral,0.7118,,0,KSmithFoundHere,0,@TAA @ladygaga @carrieunderwood Julie Andrews. Hands down.,2/23/2015 15:24,Atlantic Time (Canada)
5.7E+17,neutral,1,,,papamurat,0,@TAA Will flights be leaving Dallas for LA on February 24th?,2/23/2015 15:19,
5.69996E+17,negative,0.6939,Flight Booking Problems,0.6939,murphicus,0,@TAA hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,2/23/2015 15:05,Eastern Time (US & Canada)
5.69996E+17,positive,1,,,VinnieFerra,0,@TAA you know it. Need it on my spotify stat #guiltypleasures,2/23/2015 15:04,Pacific Time (US & Canada)
5.6999E+17,positive,0.635,,,KevinDemsi,0,@TAA @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,2/23/2015 14:40,Kuala Lumpur
5.6999E+17,neutral,0.7007,,,giffgaffman,0,@TAA @ladygaga @carrieunderwood - Carrie!,2/23/2015 14:40,
5.6999E+17,neutral,1,,,HanlonBrothers,0,@TAA New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,2/23/2015 14:37,Brisbane
5.69989E+17,neutral,1,,,emilybg78,0,@TAA @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2/23/2015 14:36,Arizona
5.69989E+17,negative,1,Customer Service Issue,1,rachie1126,0,@TAA I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,2/23/2015 14:35,Eastern Time (US & Canada)
5.69988E+17,neutral,0.6858,,,adawson66,0,"@TAA @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",2/23/2015 14:30,
5.69987E+17,neutral,1,,,SocialPLC,0,"@TAA @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2/23/2015 14:26,Eastern Time (US & Canada)
5.69986E+17,positive,1,,,jeffreymace01,0,@TAA @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,2/23/2015 14:25,
5.69982E+17,neutral,0.6814,,0,1stcrown,0,@TAA Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2/23/2015 14:09,Central Time (US & Canada)
5.69977E+17,negative,1,Customer Service Issue,1,onerockgypsy,0,@TAA heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2/23/2015 13:46,Pacific Time (US & Canada)
5.69974E+17,negative,1,Late Flight,0.6789,noelduan,0,"@TAA Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2/23/2015 13:35,Eastern Time (US & Canada)
5.69973E+17,positive,0.6922,,,Travelzoo,0,@TAA Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,2/23/2015 13:30,Pacific Time (US & Canada)
5.69967E+17,negative,1,Lost Luggage,1,gianagon,0,@TAA everything was fine until you lost my bag,2/23/2015 13:08,Eastern Time (US & Canada)
5.69962E+17,neutral,1,,,bxchen,0,@TAA Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2/23/2015 12:47,Eastern Time (US & Canada)
5.6995E+17,neutral,0.6492,,0,seimatrun,0,@TAA I emailed your customer service team. Let me know if you need the tracking number.,2/23/2015 12:00,
5.69949E+17,neutral,1,,,jamied7,0,"@TAA hi I just booked a flight but need to add baggage, how can I do this?",2/23/2015 11:56,London
5.69946E+17,negative,1,Flight Attendant Complaints,0.3516,seimatrun,0,@TAA your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,2/23/2015 11:46,
5.69943E+17,positive,1,,,mrmichaellay,0,"@TAA not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2/23/2015 11:32,Eastern Time (US & Canada)
5.69942E+17,positive,1,,,TaylorLumsden,0,@TAA awesome. I flew yall Sat morning. Any way we can correct my bill ?,2/23/2015 11:28,Mountain Time (US & Canada)
5.69941E+17,neutral,1,,,campusmoviefest,0,"@TAA Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",2/23/2015 11:24,Eastern Time (US & Canada)
5.6994E+17,neutral,1,,,TaylorLumsden,0,@TAA first time flying you all. do you have a different rate/policy for media Bags? Thanks,2/23/2015 11:22,Mountain Time (US & Canada)
5.69935E+17,negative,1,Customer Service Issue,1,meme_meng,0,@TAA what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,2/23/2015 11:02,
5.69934E+17,neutral,1,,,kyle_romanoff,0,@TAA what happened to Doom?!,2/23/2015 10:58,
5.69934E+17,negative,1,Customer Service Issue,1,GunsNDip,0,@TAA why can't you supp the biz traveler like @TAA  and have customer service like @TAA #neverflyvirginforbusiness,2/23/2015 10:56,Pacific Time (US & Canada)
5.69934E+17,positive,1,,,artisticwritr87,0,@TAA I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,2/23/2015 10:56,Pacific Time (US & Canada)
5.69933E+17,negative,0.6792,Late Flight,0.3477,arieldaie,0,@TAA you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,2/23/2015 10:54,
5.69933E+17,negative,1,Can't Tell,1,GunsNDip,0,@TAA I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,2/23/2015 10:54,Pacific Time (US & Canada)
5.69929E+17,negative,1,Can't Tell,1,GunsNDip,0,@TAA it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,2/23/2015 10:38,Pacific Time (US & Canada)
5.69927E+17,negative,1,Flight Booking Problems,1,jsatk,0,@TAA I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,2/23/2015 10:29,Pacific Time (US & Canada)
5.69923E+17,neutral,0.6705,,0,serenaklal,0,@TAA Can't bring up my reservation online using Flight Booking Problems code,2/23/2015 10:15,Eastern Time (US & Canada)
5.69922E+17,neutral,1,,,openambit1,0,@TAA Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2/23/2015 10:09,
5.69921E+17,neutral,0.6545,,0,cabowine,0,@TAA I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,2/23/2015 10:04,Arizona
5.69919E+17,negative,1,Can't Tell,0.6513,MaryAnnTaylorT,0,@TAA Why is the site down?  When will it be back up?,2/23/2015 9:57,Arizona
5.69916E+17,neutral,1,,,RamotControl,0,"@TAA ""You down with RNP?"" ""Yeah you know me!""",2/23/2015 9:45,Pacific Time (US & Canada)
5.69913E+17,neutral,0.6639,,0,losermelon,0,"@TAA hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",2/23/2015 9:35,
5.69912E+17,negative,1,Cancelled Flight,1,AlisonK33774854,0,@TAA I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,2/23/2015 9:29,
5.69912E+17,negative,1,Late Flight,1,GunsNDip,0,"@TAA just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",2/23/2015 9:28,Pacific Time (US & Canada)
5.69911E+17,neutral,0.6765,,0,yazdanagh,0,@TAA why is flight 345 redirected?,2/23/2015 9:26,
5.69911E+17,negative,1,Customer Service Issue,0.6863,MerchEngines,0,"@TAA Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",2/23/2015 9:25,Arizona
5.69909E+17,negative,1,Customer Service Issue,0.6771,ColorCartel,0,@TAA I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,2/23/2015 9:18,Mountain Time (US & Canada)
5.69907E+17,negative,1,Can't Tell,0.659,MustBeSpoken,0,@TAA - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,2/23/2015 9:11,
5.69897E+17,negative,1,Flight Booking Problems,0.6714,mattbunk,0,@TAA What is your phone number. I can't find who to call about a flight reservation.,2/23/2015 8:29,Eastern Time (US & Canada)
5.69894E+17,negative,1,Customer Service Issue,1,louisjenny,0,@TAA is anyone doing anything there today?  Website is useless and no one is answering the phone.,2/23/2015 8:19,Quito
5.69894E+17,neutral,1,,,STravelsW,0,@TAA trying to add my boy Prince to my ressie. SF this Thursday @TAA from LAX http://t.co/GsB2J3c4gM,2/23/2015 8:19,
5.69892E+17,negative,1,Late Flight,0.6882,GunsNDip,0,@TAA why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,2/23/2015 8:11,Pacific Time (US & Canada)
5.69891E+17,neutral,1,,,joeyrenagade,0,@TAA check out new music http://t.co/maRcnOCWzn,2/23/2015 8:08,
5.69891E+17,negative,0.6925,Late Flight,0.3521,mrmichaellay,0,@TAA how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,2/23/2015 8:08,Eastern Time (US & Canada)
5.69887E+17,negative,1,Late Flight,0.3486,GunsNDip,0,@TAA your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,2/23/2015 7:51,Pacific Time (US & Canada)
5.69887E+17,positive,1,,,TheDuchessSF,0,"@TAA - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",2/23/2015 7:50,Pacific Time (US & Canada)
5.69885E+17,negative,1,Customer Service Issue,1,BeLeather,0,@TAA called your service line and was hung up on. This is awesome. #sarcasm,2/23/2015 7:40,Pacific Time (US & Canada)
5.69884E+17,negative,1,Flight Booking Problems,0.6366,BeLeather,0,@TAA your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,2/23/2015 7:40,Pacific Time (US & Canada)
5.69882E+17,neutral,0.6593,,0,drcaseydrake,0,@TAA I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2/23/2015 7:28,
5.69874E+17,positive,0.6823,,0,flyfromWAS,0,"@TAA has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",2/23/2015 6:57,Eastern Time (US & Canada)
5.69874E+17,neutral,1,,,flyfromSEA,0,"@TAA has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2/23/2015 6:57,Central Time (US & Canada)
5.69874E+17,positive,0.6806,,,flyfromNYC,0,"@TAA has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",2/23/2015 6:57,Central Time (US & Canada)
5.69874E+17,neutral,0.6529,,,flyfromLAX,0,"@TAA has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2/23/2015 6:57,Central Time (US & Canada)
5.69872E+17,positive,0.678,,,Silvanabfer,0,@TAA Have a great week 🌞✈,2/23/2015 6:51,
5.69861E+17,positive,0.3482,,0,AdamJdubs,0,@TAA come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,2/23/2015 6:07,Eastern Time (US & Canada)
5.69848E+17,negative,1,Late Flight,1,nicholas_v,0,"@TAA should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2/23/2015 5:15,Eastern Time (US & Canada)
5.69814E+17,positive,1,,,tstashajones,0,"@TAA is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2/23/2015 3:01,Eastern Time (US & Canada)
5.69778E+17,positive,1,,,SkateMamas,0,@TAA and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,2/23/2015 0:35,
5.69774E+17,positive,1,,,dngoo,0,@TAA your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,2/23/2015 0:21,Pacific Time (US & Canada)
5.6977E+17,positive,1,,,SamBrittenham,0,"@TAA Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",2/23/2015 0:06,Eastern Time (US & Canada)
5.69748E+17,negative,0.6832,Customer Service Issue,0.3773,usagibrian,0,@TAA Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2/22/2015 22:39,Pacific Time (US & Canada)
5.69741E+17,negative,1,Flight Booking Problems,0.6767,usagibrian,0,"@TAA And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2/22/2015 22:11,Pacific Time (US & Canada)
5.69738E+17,negative,1,Customer Service Issue,0.6527,KindofLuke,0,@TAA I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,2/22/2015 21:56,
5.69714E+17,positive,1,,,ptbrodie,0,@TAA thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,2/22/2015 20:23,
5.69675E+17,positive,1,,,cheryleng,0,@TAA you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,2/22/2015 17:48,Pacific Time (US & Canada)
5.69674E+17,neutral,1,,,HishamSharaby,0,"@TAA Do you provide complimentary upgrades to first class, if there are available seats?",2/22/2015 17:45,Eastern Time (US & Canada)
5.69666E+17,negative,0.6703,Customer Service Issue,0.6703,ChrisFordisHere,0,@TAA i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2/22/2015 17:14,Tehran
5.69652E+17,positive,1,,,JKF1897,0,@TAA completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,2/22/2015 16:18,
5.69649E+17,neutral,1,,,F6x,0,@TAA How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,2/22/2015 16:05,Pacific Time (US & Canada)
5.69643E+17,neutral,0.6535,,0,lawyang588,0,@TAA is flight 882 Cancelled Flightled and what do I do if it is?,2/22/2015 15:41,
5.69643E+17,negative,1,Customer Service Issue,0.6448,melokudo,0,@TAA you are failing your customers because your check in process does not link to TSA pre-check.,2/22/2015 15:40,Eastern Time (US & Canada)
5.69634E+17,negative,1,Can't Tell,1,ChrysiChrysic,0,@TAA @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,2/22/2015 15:06,
5.69634E+17,neutral,1,,,nikkisixxfan93,0,@TAA has flight number 276 from SFO to Cabo San Lucas arrived yet?,2/22/2015 15:03,Pacific Time (US & Canada)
5.69633E+17,negative,1,Cancelled Flight,0.6875,ChrysiChrysic,0,@TAA @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,2/22/2015 15:02,
5.6963E+17,negative,1,Late Flight,1,MOCBlogger,0,@TAA Another delayed flight? #likingyoulessandless,2/22/2015 14:49,Alaska
5.69627E+17,negative,1,Customer Service Issue,1,tfaz,0,@TAA I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,2/22/2015 14:39,Pacific Time (US & Canada)
5.69626E+17,positive,1,,,lisaptv,1,@TAA you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,2/22/2015 14:32,Mountain Time (US & Canada)
5.69626E+17,neutral,1,,,dropapp,0,"@TAA, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",2/22/2015 14:31,
5.6962E+17,positive,0.7011,,,HollywoodHotMom,0,@TAA always!!! Xoxo,2/22/2015 14:09,Pacific Time (US & Canada)
5.6962E+17,negative,1,Flight Booking Problems,1,GoShar2012,0,@TAA why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,2/22/2015 14:07,Eastern Time (US & Canada)
5.69619E+17,negative,0.6543,Flight Attendant Complaints,0.3562,MOCBlogger,0,@TAA You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,2/22/2015 14:03,Alaska
5.69616E+17,positive,1,,,SkateMamas,0,@TAA best customer service rep in the world! #irmafromDallas takes the cake!!!,2/22/2015 13:55,
5.69615E+17,neutral,0.355,,0,FiDiFamilies,0,@TAA Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,2/22/2015 13:49,Eastern Time (US & Canada)
5.69614E+17,negative,0.6889,Late Flight,0.6889,jarrydosborne,0,@TAA please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,2/22/2015 13:47,Eastern Time (US & Canada)
5.69614E+17,positive,1,,,HollywoodHotMom,0,@TAA you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,2/22/2015 13:45,Pacific Time (US & Canada)
5.6961E+17,negative,1,Cancelled Flight,1,mlorenzen,0,"@TAA I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",2/22/2015 13:29,Pacific Time (US & Canada)
5.69608E+17,negative,0.679,Flight Booking Problems,0.3684,Tyler_Starrine,0,@TAA question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,2/22/2015 13:23,Pacific Time (US & Canada)
5.696E+17,positive,1,,,jessicajaymes,2,Always have it together!!! You're welcome! RT @TAA: @jessicajaymes You're so welcome.,2/22/2015 12:49,Pacific Time (US & Canada)
5.69596E+17,positive,1,,,livingfitly,0,@TAA #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,2/22/2015 12:35,Eastern Time (US & Canada)
5.69596E+17,negative,1,Damaged Luggage,0.6501,khartline,0,.@TAA I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,2/22/2015 12:34,Pacific Time (US & Canada)
5.69594E+17,negative,1,Damaged Luggage,1,khartline,0,.@TAA does that mean you don't have a policy for destroyed luggage?,2/22/2015 12:27,Pacific Time (US & Canada)
5.69587E+17,neutral,1,,,MACRoxburgh,0,@TAA is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,2/22/2015 11:56,Atlantic Time (Canada)
5.69581E+17,positive,1,,,paulnakada,0,@TAA thank you for checking in. tickets are purchased and customer is happy ;-),2/22/2015 11:33,Pacific Time (US & Canada)
5.69576E+17,neutral,1,,,wildcatdad,0,@TAA is your website ever coming back online?,2/22/2015 11:13,
5.69575E+17,neutral,0.6732,,0,RheaThurman1,0,"@TAA  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",2/22/2015 11:10,
5.69575E+17,neutral,1,,,Osiris91780,0,@TAA Is flight 0769 out of LGA to DFW on time?,2/22/2015 11:10,
